"","x"
"1","Burned"
"2","Burned"
"3","Unburned"
"4","Unburned"
"5","Unburned"
"6","Unburned"
"7","Unburned"
"8","Unburned"
"9","Burned"
"10","Burned"
"11","Burned"
"12","Burned"
"13","Burned"
"14","Burned"
"15","Unburned"
"16","Unburned"
"17","Unburned"
"18","Unburned"
"19","Unburned"
"20","Unburned"
"21","Burned"
"22","Burned"
"23","Unburned"
"24","Unburned"
"25","Unburned"
"26","Unburned"
"27","Unburned"
"28","Unburned"
"29","Burned"
"30","Burned"
"31","Burned"
"32","Burned"
"33","Burned"
"34","Unburned"
"35","Unburned"
"36","Unburned"
"37","Unburned"
"38","Unburned"
"39","Unburned"
"40","Burned"
"41","Burned"
"42","Burned"
"43","Unburned"
"44","Burned"
"45","Burned"
"46","Unburned"
"47","Unburned"
"48","Burned"
"49","Burned"
"50","Burned"
"51","Burned"
"52","Unburned"
"53","Unburned"
"54","Unburned"
