"SampleID",SampleType,SampleSource,Host/SampleName,CollectionDate,CollectorName,CollectionMethod,CollectionDepth_cm,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,ExtractionDate,FwdPrimer,RevPrimer,AmplicationDate,LibraryPrepDate,DNAConcentration [ng/uL],LibraryMethod,FwdBarcode,RevBarcode,Library-Run_Name,SampleDescription,Project_Name,Plate,PlateLocation,SequencingRun_Name,Burned,BurnYear,Diet,ActivityLevel,Age,Gender,Ethnicity,WeeklyChewTobacco,WeeklyAlcohol,WeeklyCigarettes,WeeklyVape,WeeklyDrugs
"OFNEG3",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,NA,,,2-Step PCR,NA,NA,,Oral_Mycobiome_OFNEG3,Oral_Mycobiome,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFNEG2",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B501,i7_A701,,Oral_Mycobiome_OFNEG2,Oral_Mycobiome,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OFNEG1",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A501,i7_A701,,Oral_Mycobiome_OFNEG1,Oral_Mycobiome,,,Macrogen_2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OF239",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B503,i7_A701,,Oral_Mycobiome_OF239,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,21,Female,Caucasian,0,0,0,0,0
"OF238",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Geoff Zahn,2018-06-28,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B507,i7_A703,,Oral_Mycobiome_OF238,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Vegetarian,1-2,18,Female,Caucasian,0,0,0,0,0
"OF237",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A508,i7_A708,,Oral_Mycobiome_OF237,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,22,Female,Caucasian,0,0,0,0,0
"OF234",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-06-26,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B506,i7_A702,,Oral_Mycobiome_OF234,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,33,Female,Hispanic,0,0,0,0,0
"OF233",Environmental,Human,Mouth Rinse,2018-03-09,Harrison Haws,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Harrison Haws,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_B501,i7_A703,,Oral_Mycobiome_OF233,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,22,Male,Caucasian,0,0,0,0,0
"OF232",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A503,i7_A711,,Oral_Mycobiome_OF232,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,1-2,21,Female,Caucasian,0,0,0,0,0
"OF231",Environmental,Human,Mouth Rinse,2018-03-09,Nicholas Long,15 mL saline, 60 sec rinse,NA,NA,NA,NA,MPBio FastDNA Kit,Nicholas Long,2018-07-30,ITS1f-Next,ITS2-Next,2018-09-16,,,2-Step PCR,i5_A504,i7_A703,,Oral_Mycobiome_OF231,Oral_Mycobiome,,,Macrogen_2018,NA,NA,Omnivore,3-4,19,Female,Caucasian,0,0,0,0,0
