,SampleID,SampleType,SampleSource,Host_SampleName,CollectionDate,Latitude,Longitude,Elevation,DNAExtractionProtocol,ExtractorName,SampleDescription,Project_Name,Set_ID,FireTreatment,BurnYear,Year_,Month_,Day_,ObjectID_1,InOrOut,Lat,Lon,BurnDate,ELEVATION_AVG,SLOPE_AVG,SLOPE_MAX,ASPECT_DOM,CANOPY_2001,POP_DEN_2000,POP_2000,SOIL_DOM,GEOLOGY_DOM,PRECIP_1,PRECIP_2,PRECIP_3,PRECIP_4,PRECIP_5,PRECIP_6,PRECIP_7,PRECIP_8,PRECIP_9,PRECIP_10,PRECIP_11,PRECIP_12,TMEAN_1,TMEAN_2,TMEAN_3,TMEAN_4,TMEAN_5,TMEAN_6,TMEAN_7,TMEAN_8,TMEAN_9,TMEAN_10,TMEAN_11,TMEAN_12,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8,TMIN_9,TMIN_10,TMIN_11,TMIN_12,TMAX_1,TMAX_2,TMAX_3,TMAX_4,TMAX_5,TMAX_6,TMAX_7,TMAX_8,TMAX_9,TMAX_10,TMAX_11,TMAX_12,ANNUAL_MEAN_TEMP,ANNUAL_PRECIP,ISOTHERMALITY,MAX_TEMP_WARMEST_MONTH,MEAN_DIURNAL_RANGE,MEAN_TEMP_COLDEST_QUARTER,MEAN_TEMP_DRIEST_QUARTER,MEAN_TEMP_WARMEST_QUARTER,MEAN_TEMP_WETTEST_QUARTER,MIN_TEMP_COLDEST_MONTH,PRECIP_COLDEST_QUARTER,PRECIP_DRIEST_MONTH,PRECIP_DRIEST_QUARTER,PRECIP_SEASONALITY,PRECIP_WARMEST_QUARTER,PRECIP_WETTEST_MONTH,PRECIP_WETTEST_QUARTER,TEMP_ANNUAL_RANGE,TEMP_SEASONALITY,Soil_Description,to_keep,ID,Shannon,NewPastedVar
Burn_Set_1,NA,1,1,6,2,38.5261,-111.77282,2965,1,1,13,1,Set_1,Burn,2015,2015,4,14,1603,1,38.52798,-111.771563,11,300989,9.71395587921143,12.5999441146851,4,20.09,0,0,674564,82,44,43,55,37,38,26,50,60,44,39,42,46,-7.9,-7.2,-5.2,-0.9,4,9.2,13.2,12,8,3.1,-3.3,-7.1,-15.2,-14.2,-11.7,-7.7,-3.5,0.7,4.9,4.1,0,-4.4,-10,-14.2,-0.5,-0.1,1.4,6,11.6,17.7,21.5,20,16.1,10.7,3.5,0,-7.9,524,40,-7.2,149,-5.2,-0.9,4,9.2,13.2,133,26,101,19,136,60,154,12,8,7,1,5,2.25355641175885,NA
Burn_Set_10,NA,1,1,3,4,41.48998,-111.99606,1483,1,1,1.5,1,Set_10,Burn,2006,2006,8,23,704,1,41.489965,-111.996076,6,148606,18.2032928466797,23.955530166626,1,52.24,0,0,674339,37,52,49,54,57,56,38,21,25,38,46,51,53,-5.1,-2.5,2,6.8,11.9,16.9,21.6,20.6,15.1,8.8,1.8,-3.8,-10.4,-8.3,-3.9,0.2,4.5,8.7,12.6,11.7,6.5,1,-3.9,-8.9,0.3,3.4,7.9,13.5,19.3,25.2,30.6,29.5,23.7,16.7,7.6,1.3,-5.1,540,34,-2.5,141,2,6.8,11.9,16.9,21.6,154,21,84,25,84,57,167,20.6,15.1,1,1,14,2.51068182547037,NA
Burn_Set_11,NA,1,1,6,3,41.60692,-111.60789,1644,1,1,10,1,Set_11,Burn,2015,2015,9,25,1628,1,41.606945,-111.607953,12,165933,13.74596118927,30.7330360412598,3,25.74,0,0,674339,118,42,38,42,48,45,35,21,26,36,40,42,43,-6.9,-4.9,-0.6,4.5,9.2,13.7,17.9,16.9,11.9,6.3,-0.4,-5.9,-13.9,-12.2,-7.4,-2.8,0.8,4.2,7.3,6.4,1.7,-3.2,-7.5,-12.7,0.1,2.5,6.3,11.9,17.7,23.3,28.5,27.5,22.2,15.8,6.7,1,-6.9,464,39,-4.9,168,-0.6,4.5,9.2,13.7,17.9,125,20,80,21,80,49,139,16.9,11.9,1,1,7,2.17512596812302,NA
Burn_Set_3,NA,1,1,4,6,40.01663,-111.49936,1501,1,1,21.5,1,Set_3,Burn,2007,2007,6,24,239,1,40.016673,-111.499308,8,152625,1.41681432723999,4.60516452789307,2,3.06,0,0,674407,43,48,47,53,47,42,26,22,28,36,46,50,52,-4.1,-1.2,3.4,8,13,17.7,21.9,20.8,15.9,9.8,2.7,-3.1,-10.1,-7.7,-3.5,0.2,4.4,8.3,12.3,11.3,6.5,1.2,-3.9,-8.8,1.9,5.3,10.4,15.8,21.6,27.2,31.6,30.3,25.3,18.4,9.4,2.6,-4.1,504,37,-1.2,158,3.4,8,13,17.7,21.9,150,23,77,25,77,54,153,20.8,15.9,4,1,9,1.66328323677297,NA
Burn_Set_4,NA,1,1,5,6,40.1191,-111.33832,1819,1,1,29.5,1,Set_4,Burn,2012,2012,8,19,679,1,40.11885,-111.337902,10,182995,16.4556751251221,33.6572418212891,2,17.21,0,0,674411,7,51,49,47,40,39,27,27,32,38,44,48,51,-6.2,-3.7,0.8,5.5,10.4,15.1,19.3,18.2,13.5,7.8,0.7,-5.1,-12.9,-10.7,-6.2,-2.1,1.9,5.7,9.6,8.6,4,-0.9,-6.1,-11.4,0.6,3.4,7.9,13.2,19,24.6,29,27.8,23,16.5,7.6,1.3,-6.2,493,38,-3.7,162,0.8,5.5,10.4,15.1,19.3,151,27,86,20,86,51,151,18.2,13.5,5,1,12,3.35051405770925,NA
Burn_Set_5,NA,1,1,3,5,40.15595,-111.54119,1572,1,1,32,1,Set_5,Burn,2006,2006,6,5,895,1,40.156028,-111.541224,5,157780,32.1194038391113,34.9600639343262,3,7.12,17,5,674387,5,54,52,58,53,46,27,22,28,37,49,54,56,-3.4,-0.4,3.9,8.5,13.5,18.4,22.8,21.5,16.6,10.4,3.2,-2.4,-9.2,-6.8,-3,0.8,5,9.1,13.2,12.1,7.3,1.9,-3.2,-7.8,2.4,6,10.8,16.2,22.1,27.8,32.4,31,25.9,18.9,9.7,3.1,-3.4,562,37,-0.4,156,3.9,8.5,13.5,18.4,22.8,173,23,80,28,80,61,175,21.5,16.6,2,1,20,2.27134271010451,NA
Burn_Set_6,NA,1,1,2,7,40.2865,-111.63195,1682,1,1,41,1,Set_6,Burn,2003,2003,8,15,883,1,40.286551,-111.631964,3,167493,31.986026763916,38.8780746459961,4,9.32,3,1,674389,118,54,52,56,52,47,28,23,28,38,50,53,55,-3.4,-0.4,3.5,8.1,13.2,18.1,22.5,21.3,16.2,10,3,-2.4,-9.1,-6.8,-3.3,0.5,4.7,8.8,12.9,11.8,6.9,1.6,-3.3,-7.7,2.4,6.1,10.4,15.7,21.7,27.5,32.2,30.9,25.6,18.5,9.3,3,-3.4,536,37,-0.4,155,3.5,8.1,13.2,18.1,22.5,161,23,79,26,79,56,162,21.3,16.2,3,1,18,2.97439734150566,NA
Burn_Set_7,NA,1,1,1,11,40.34851,-111.54983,1655,1,1,44.5,1,Set_7,Burn,2000,2000,7,26,1459,1,40.348496,-111.549795,2,166849,17.5042343139648,38.765022277832,3,28.91,1,0,674417,43,62,59,56,50,46,30,25,30,41,52,59,61,-4.5,-1.8,2.2,6.9,11.8,16.7,21.1,20.1,15,9.1,1.9,-3.5,-10.7,-8.6,-4.8,-0.8,3.1,7.1,11,10.1,5.3,0.3,-4.6,-9.3,1.7,5.1,9.2,14.7,20.6,26.4,31.2,30.1,24.8,17.9,8.5,2.3,-4.5,576,38,-1.8,161,2.2,6.9,11.8,16.7,21.1,183,26,86,26,86,63,183,20.1,15,6,1,3,2.04960619647361,NA
Burn_Set_8,NA,1,1,2,9,40.42356,-111.53493,1922,1,1,48,1,Set_8,Burn,2003,2003,9,23,874,1,40.423623,-111.534926,4,193683,14.0483236312866,23.6306571960449,2,40.85,0,0,674417,26,66,62,58,51,48,31,27,32,41,51,59,62,-5,-2.7,1,5.6,10.5,15.5,19.6,18.8,13.8,8.1,1,-4.1,-11.4,-9.5,-5.9,-2,1.9,5.9,9.6,8.9,4.2,-0.5,-5.6,-10.2,1.4,4.2,7.9,13.2,19.3,25.1,29.7,28.7,23.5,16.7,7.6,2,-5,587,39,-2.7,162,1,5.6,10.5,15.5,19.6,190,27,90,26,90,66,190,18.8,13.8,6,1,16,1.60922213220571,NA
Burn_Set_9,NA,1,1,1,8,40.633,-111.18538,2176,1,1,50,1,Set_9,Burn,2000,2000,6,18,1452,1,40.633002,-111.185424,1,216193,5.03178834915161,9.03526401519775,3,2.24,8,2,674417,118,47,47,45,44,41,30,29,32,39,43,46,46,-6.2,-4.4,-1.3,3.4,8.3,13.2,17.6,16.5,11.8,6.4,-0.5,-5.4,-13,-11.4,-8,-3.9,0.2,4.2,8.1,7.1,2.6,-2,-7.2,-12.1,0.7,2.6,5.4,10.7,16.5,22.3,27.1,25.9,21,14.9,6.3,1.3,-6.2,495,39,-4.4,157,-1.3,3.4,8.3,13.2,17.6,142,29,92,16,92,48,142,16.5,11.8,6,1,1,3.19911019393957,NA
